lambda	thetas	ref00	ref01/ref00	ref02/ref00	ref03/ref00	ref10/ref00	ref11/ref00	ref12/ref00	ref13/ref00	ref20/ref00	ref21/ref00	ref22/ref00	ref23/ref00	ref30/ref00	ref31/ref00	ref32/ref00	ref33/ref00	refs	refp	
1.551	1.0000000000e+00	9.9763807976e-01	-1.9974390603e-03	0.0000000000e+00	0.0000000000e+00	-1.9974390603e-03	1.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.9882908573e-01	4.8337022329e-02	0.0000000000e+00	0.0000000000e+00	-4.8337022329e-02	9.9882908573e-01	9.9564535849e-01	9.9963080103e-01	
1.5511	1.0000000000e+00	9.9764570495e-01	-1.9898251681e-03	0.0000000000e+00	0.0000000000e+00	-1.9898251681e-03	1.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.9883463932e-01	4.8222441717e-02	0.0000000000e+00	0.0000000000e+00	-4.8222441717e-02	9.9883463932e-01	9.9566056442e-01	9.9963084549e-01	
1.5512	1.0000000000e+00	9.9765323280e-01	-1.9823091307e-03	0.0000000000e+00	0.0000000000e+00	-1.9823091307e-03	1.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.9884011790e-01	4.8109139816e-02	0.0000000000e+00	0.0000000000e+00	-4.8109139816e-02	9.9884011790e-01	9.9567557568e-01	9.9963088991e-01	
1.5513	1.0000000000e+00	9.9766066529e-01	-1.9748889431e-03	0.0000000000e+00	0.0000000000e+00	-1.9748889431e-03	1.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.9884552303e-01	4.7997092915e-02	0.0000000000e+00	0.0000000000e+00	-4.7997092915e-02	9.9884552303e-01	9.9569039627e-01	9.9963093430e-01	
1.5514	1.0000000000e+00	9.9766800436e-01	-1.9675626560e-03	0.0000000000e+00	0.0000000000e+00	-1.9675626560e-03	1.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.9885085628e-01	4.7886277908e-02	0.0000000000e+00	0.0000000000e+00	-4.7886277908e-02	9.9885085628e-01	9.9570503005e-01	9.9963097867e-01	
1.5515	1.0000000000e+00	9.9767525190e-01	-1.9603283729e-03	0.0000000000e+00	0.0000000000e+00	-1.9603283729e-03	1.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.9885611912e-01	4.7776672271e-02	0.0000000000e+00	0.0000000000e+00	-4.7776672271e-02	9.9885611912e-01	9.9571948080e-01	9.9963102300e-01	
1.5516	1.0000000000e+00	9.9768240974e-01	-1.9531842492e-03	0.0000000000e+00	0.0000000000e+00	-1.9531842492e-03	1.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.9886131301e-01	4.7668254044e-02	0.0000000000e+00	0.0000000000e+00	-4.7668254044e-02	9.9886131301e-01	9.9573375217e-01	9.9963106731e-01	
1.5517	1.0000000000e+00	9.9768947966e-01	-1.9461284898e-03	0.0000000000e+00	0.0000000000e+00	-1.9461284898e-03	1.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.9886643937e-01	4.7561001811e-02	0.0000000000e+00	0.0000000000e+00	-4.7561001811e-02	9.9886643937e-01	9.9574784774e-01	9.9963111158e-01	
1.5518	1.0000000000e+00	9.9769646341e-01	-1.9391593481e-03	0.0000000000e+00	0.0000000000e+00	-1.9391593481e-03	1.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.9887149956e-01	4.7454894687e-02	0.0000000000e+00	0.0000000000e+00	-4.7454894687e-02	9.9887149956e-01	9.9576177098e-01	9.9963115583e-01	
1.5519	1.0000000000e+00	9.9770336266e-01	-1.9322751237e-03	0.0000000000e+00	0.0000000000e+00	-1.9322751237e-03	1.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.9887649493e-01	4.7349912300e-02	0.0000000000e+00	0.0000000000e+00	-4.7349912300e-02	9.9887649493e-01	9.9577552527e-01	9.9963120005e-01	
